## name,ra,dec,trigger_time,t90,t90_error,t90_start,flux_64,flux_64_error,error_radius,t50,t50_error,t50_start,cut_t90,relative_peak_time,relative_peak_time_error,cut_peak_time,t50_t90,t50_t90_error,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB170124528,10.85,11.02,57777.528113792,0.448,0.559,-0.32,6.9153,1.3474,3.83,0.128,0.091,-0.032,True,0.6428571428571429,0.8021364795918368,True,0.2857142857142857,0.4103116539974619,True,True,True,True
GRB170125022,264.14,28.58,57778.021686389,3.904,1.12,-2.432,2.6541,0.926,12.65,1.6,0.462,-1.6,True,0.21311475409836061,0.06113947863477559,True,0.4098360655737705,0.16681873836605512,True,True,True,True
GRB170302166,154.25,29.39,57814.165558823,3.84,1.9,-0.768,6.8015,1.1846,12.18,1.472,0.181,-0.32,True,0.11666666666666667,0.05772569444444445,True,0.38333333333333336,0.19543927212940262,True,True,True,True
GRB170318644,284.306,6.2987,57830.644364447,4.096,2.319,-2.112,3.7851,1.0556,0.002,1.152,0.692,-0.576,True,0.375,0.212310791015625,True,0.28125,0.2321587745604673,True,True,True,True
GRB170325331,127.483,20.526,57837.331227327,0.576,0.326,-0.064,8.0745,1.2088,0.03,0.128,0.091,0.0,True,0.11111111111111112,0.06288580246913582,True,0.22222222222222224,0.2019359005049895,True,True,True,True
GRB170504734,292.76,27.64,57877.734386405,0.704,1.139,-0.832,4.2877,1.227,9.71,0.256,0.429,-0.448,True,0.5454545454545454,0.8824896694214877,True,0.36363636363636365,0.8470335873025465,True,True,True,True
GRB170709334,310.04,2.2,57943.333610873,1.856,0.898,-0.576,10.0937,1.0484,7.49,0.704,0.091,0.0,True,0.31034482758620685,0.15015606420927466,True,0.3793103448275862,0.18996064115528313,True,True,True,True
GRB170711713,278.61,17.24,57945.712922188,1.152,1.288,-0.832,5.5665,0.9214,7.96,0.384,0.143,-0.192,True,0.5555555555555555,0.621141975308642,True,0.33333333333333337,0.39281418875605095,True,True,True,True
GRB170714049,18.2,29.54,57948.049202813,0.224,0.396,-0.224,6.0685,0.7532,5.35,0.032,0.045,-0.032,True,0.8571428571428571,1.5153061224489794,True,0.14285714285714285,0.32270723258121264,True,True,True,True
GRB170803172,76.5,23.97,57968.171710044,6.656,3.338,-0.768,4.9458,1.3506,13.3,4.096,1.448,-0.256,True,0.07692307692307693,0.03857710798816569,True,0.6153846153846154,0.37758645958202364,True,True,True,True
GRB170912985,83.57,7.2,58008.984868895,0.48,1.0,-0.448,6.9194,1.0165,16.51,0.064,0.072,-0.064,True,0.8,1.6666666666666667,True,0.13333333333333333,0.3156905032261194,True,True,True,True
GRB171007498,135.544,42.849,58033.49837852,3.456,0.345,-1.408,2.3505,0.7373,0.005,0.96,0.286,-0.832,True,0.16666666666666666,0.01663773148148148,True,0.2777777777777778,0.08727689731696316,True,True,True,True
GRB171008080,232.59,24.02,58034.079616833,1.472,1.537,-1.024,7.0458,2.3352,12.88,0.384,0.64,-0.128,True,0.6086956521739131,0.6355741965973536,True,0.2608695652173913,0.5130610609085349,True,True,True,True
GRB171011810,177.04,26.93,58037.810045671,0.48,0.935,-0.448,4.7832,0.6365,15.96,0.064,0.358,-0.128,True,0.6666666666666667,1.2986111111111114,True,0.13333333333333333,0.7897613524522206,True,True,True,True
GRB171208733,125.49,9.05,58095.733214067,2.624,0.81,-0.896,10.1169,1.4122,7.55,0.832,0.272,-0.192,True,0.26829268292682923,0.08281900654372397,True,0.31707317073170727,0.14256577727449765,True,True,True,True
GRB180103090,25.4,28.01,58121.089723587,0.016,0.036,-0.016,4.9041,2.3876,6.97,0.016,0.045,-0.016,True,0.0,0.0,True,1.0,3.6017573835559773,True,True,True,True
GRB180123820,124.86,30.0,58141.820020528,0.32,0.932,-0.128,2.9524,0.9244,16.83,0.256,0.231,-0.128,True,0.0,0.0,True,0.8,2.439262904162854,True,True,True,True
GRB180418281,170.121,24.9328,58226.28062826,2.56,0.202,-0.064,7.5584,1.1389,0.001,0.512,0.091,0.064,True,0.05,0.0039453125,True,0.2,0.03889252079549647,True,True,True,True
GRB180511437,257.78,9.07,58249.43741442,1.984,0.968,-0.256,7.6375,1.2015,10.16,0.768,0.181,0.128,True,0.1935483870967742,0.09443288241415193,True,0.3870967741935484,0.20974546620886453,True,True,True,True
GRB180524920,83.75,30.11,58262.920166338,4.096,1.305,-1.792,2.8703,0.7876,11.92,1.28,0.362,-1.024,True,0.1875,0.0597381591796875,True,0.3125,0.13313054211059935,True,True,True,True
GRB180525151,103.29,19.93,58263.151378266,0.544,0.689,-0.064,8.9971,1.066,14.9,0.096,0.115,-0.032,True,0.058823529411764705,0.07450259515570933,True,0.1764705882352941,0.3076433757513047,True,True,True,True
GRB180715755,235.069,-0.925,58314.754919691,0.704,0.286,-0.192,8.4063,1.2844,0.05,0.384,0.091,0.0,True,0.27272727272727276,0.11079545454545456,True,0.5454545454545455,0.25653660775972653,True,True,True,True
GRB180718082,336.019,2.79,58317.081766214,0.08,0.182,-0.048,9.0129,0.9926,0.05,0.032,0.045,-0.032,True,0.2,0.45499999999999996,True,0.4,1.069815988850419,True,True,True,True
GRB180721642,235.15,12.92,58320.642452938,0.064,0.072,-0.032,5.2222,1.0762,12.81,0.032,0.091,-0.032,True,0.0,0.0,True,0.5,1.5290960616079685,True,True,True,True
GRB180804909,178.76,29.9,58334.909053011,4.608,3.083,-4.096,3.5356,1.1791,14.5,1.28,0.724,-2.048,True,0.4444444444444445,0.2973572530864198,True,0.2777777777777778,0.24336324238090068,True,True,True,True
GRB180818179,179.71,35.86,58348.179132288,4.416,1.319,-0.576,6.3003,1.2128,12.54,2.752,0.962,-0.064,True,0.11594202898550723,0.0346303297626549,True,0.6231884057971013,0.2865370135726566,True,True,True,True
GRB180927993,236.05,-1.72,58388.992594828,4.608,3.208,-1.024,16.0947,26.5301,5.7,1.536,0.81,-0.256,True,0.16666666666666669,0.11603009259259263,True,0.33333333333333337,0.29112021125257687,True,True,True,True
GRB181016718,11.43,22.38,58407.717655133,0.08,0.788,-0.032,7.2417,1.4274,14.62,0.032,0.072,-0.032,True,0.0,0.0,True,0.4,4.041484875636676,True,True,True,True
GRB181121307,130.95,31.5,58443.306588746,0.256,0.528,-0.32,3.361,1.134,18.31,0.064,0.181,-0.192,True,0.5,1.0312500000000002,True,0.25,0.8750784702537039,True,True,True,True
GRB181121401,251.47,37.58,58443.400686286,0.192,0.516,-0.064,6.0643,0.9032,8.0,0.128,0.091,-0.064,True,0.0,0.0,True,0.6666666666666666,1.8532959683171373,True,True,True,True
GRB181125371,268.413,-2.613,58447.371316347,3.84,2.29,-1.792,3.6648,1.162,0.05,1.28,0.724,-1.28,True,0.13333333333333333,0.0795138888888889,True,0.33333333333333337,0.27397687102821383,True,True,True,True
GRB181126162,80.58,18.71,58448.161693865,1.664,0.453,-1.472,7.404,1.0236,7.02,1.152,0.181,-1.152,True,0.19230769230769235,0.05235299556213019,True,0.6923076923076923,0.2176075087714774,True,True,True,True
GRB190504678,137.43,33.01,58607.678105479,0.704,0.528,-0.576,5.0404,1.0374,7.65,0.256,0.181,-0.256,True,0.4545454545454545,0.3409090909090909,True,0.36363636363636365,0.37480894323746483,True,True,True,True
GRB190510430,128.13,33.55,58613.430046804,0.64,0.091,-0.064,8.8894,0.8451,3.54,0.384,0.143,0.064,True,0.2,0.028437499999999998,True,0.6,0.23917052297994415,True,True,True,True
GRB190515190,137.687,29.276,58618.18961962,1.264,0.471,-0.112,8.1743,0.8857,0.907,0.224,0.091,0.064,True,0.13924050632911392,0.05188471398814292,True,0.17721518987341772,0.09769197423026085,True,True,True,True
GRB190525032,338.02,5.45,58628.031801524,0.896,0.202,-0.064,8.0021,0.7541,4.04,0.448,0.143,0.064,True,0.14285714285714285,0.03220663265306123,True,0.5,0.1953922031251294,True,True,True,True
GRB190605974,337.24,4.79,58639.973924975,3.584,0.516,-0.64,5.2199,1.3517,6.76,1.536,0.345,0.0,True,0.17857142857142858,0.025709502551020405,True,0.42857142857142855,0.11433917677439376,True,True,True,True
GRB190724031,170.35,15.15,58688.030518429,0.08,1.136,-0.032,9.0125,0.9422,13.62,0.032,0.023,-0.016,True,0.2,2.84,True,0.4,5.687271423978286,True,True,True,True
GRB190905985,234.48,3.12,58731.985051952,0.704,1.032,-0.576,11.6003,1.7385,3.62,0.256,0.202,-0.128,True,0.6363636363636364,0.9328512396694215,True,0.36363636363636365,0.6053763631439351,True,True,True,True
GRB191017957,134.55,15.33,58773.957182713,3.136,2.099,-0.32,4.9894,1.0398,12.39,0.448,0.272,0.0,True,0.10204081632653061,0.06829836526447314,True,0.14285714285714285,0.12909552219081533,True,True,True,True
GRB191117637,157.417,7.2333,58804.637249546,1.28,0.87,-0.512,5.4492,1.0904,13.0667,0.64,0.286,-0.192,True,0.25,0.169921875,True,0.5,0.4067162288627201,True,True,True,True
GRB200221162,157.1,33.14,58900.161790639,1.728,1.336,-0.576,3.6624,1.4045,5.04,0.512,0.32,-0.256,True,0.18518518518518515,0.14317558299039781,True,0.2962962962962963,0.29457024048187636,True,True,True,True
GRB200313456,202.17,40.5,58921.456390395,5.184,4.362,-0.256,8.8856,1.3986,5.27,0.832,0.389,0.0,True,0.04938271604938271,0.04155235482395976,True,0.16049382716049382,0.15449265976837429,True,True,True,True
GRB200626105,87.35,16.13,59026.105228609,3.52,1.548,-0.576,4.8968,1.0248,15.17,1.152,0.231,-0.256,True,0.0909090909090909,0.03997933884297521,True,0.32727272727272727,0.15818098706799652,True,True,True,True
GRB200818998,207.61,22.12,59079.998128904,4.096,1.864,-4.352,5.2615,1.3985,11.79,2.048,1.145,-3.584,True,0.18750000000000006,0.08532714843750003,True,0.5,0.36044029239256176,True,True,True,True
GRB200824594,117.68,10.47,59085.594199283,3.584,4.104,-2.304,3.1425,1.048,15.44,1.024,0.81,-0.512,True,0.49999999999999994,0.5725446428571428,True,0.2857142857142857,0.397639483036499,True,True,True,True
GRB200919569,55.55,35.64,59111.568646569,2.56,0.516,-0.832,4.7983,1.3472,8.89,1.024,0.272,-0.256,True,0.22499999999999998,0.04535156249999999,True,0.4,0.13337710869935665,True,True,True,True
GRB201214672,187.971,9.1031,59197.672067325,0.448,0.181,-0.448,5.079,0.7505,0.0333,0.256,0.389,-0.32,True,0.2857142857142857,0.11543367346938775,True,0.5714285714285714,0.8984713818693175,True,True,True,True
GRB210424694,186.36,37.78,59328.69445577,5.888,2.589,-2.24,8.3239,1.1805,8.58,1.344,0.345,-0.192,True,0.34782608695652173,0.15294187145557658,True,0.2282608695652174,0.11621954942061428,True,True,True,True
GRB210512789,137.93,14.16,59346.78892729,0.832,0.73,-0.192,4.8875,1.3176,14.51,0.256,0.143,-0.064,True,0.15384615384615385,0.13498520710059173,True,0.3076923076923077,0.3200391228724365,True,True,True,True
GRB210518889,192.85,36.92,59352.889096235,0.896,0.59,-0.192,2.4853,0.8081,6.1,0.256,0.547,-0.128,True,0.07142857142857142,0.0470344387755102,True,0.2857142857142857,0.6388232644392661,True,True,True,True
GRB210601724,275.16,11.25,59366.72376779,0.96,0.64,-0.768,5.6416,1.1109,19.48,0.32,0.389,-0.32,True,0.4666666666666667,0.31111111111111117,True,0.33333333333333337,0.46214338624734264,True,True,True,True
GRB210711432,342.69,9.29,59406.43187702,1.6,1.139,-0.704,4.1493,1.1232,11.1,0.128,0.091,-0.192,True,0.32,0.22779999999999995,True,0.08,0.08048644684044637,True,True,True,True
GRB210715866,322.3,6.6,59410.86563203,0.384,0.543,-0.064,8.1656,1.165,9.07,0.32,0.181,0.0,True,0.16666666666666666,0.23567708333333337,True,0.8333333333333334,1.2691599350147724,True,True,True,True
GRB210822729,238.17,18.02,59448.729450104,2.176,0.898,-0.064,9.7144,1.212,4.75,0.512,0.272,0.256,True,0.14705882352941177,0.06068879757785466,True,0.23529411764705882,0.15828396377302817,True,True,True,True
GRB210912522,338.28,21.11,59469.521924672,2.56,5.184,-2.816,3.7043,1.1055,12.22,1.28,1.28,-2.048,True,0.29999999999999993,0.6074999999999998,True,0.5,1.1292281656069334,True,True,True,True
GRB210927031,236.37,7.8,59484.030530771,1.088,0.771,-0.32,6.8598,1.0234,12.39,0.064,0.264,-0.064,True,0.23529411764705882,0.1667387543252595,True,0.058823529411764705,0.2462015605511682,True,True,True,True
GRB210929154,317.8,12.34,59486.153926575,1.92,1.675,-1.088,4.136,0.7841,14.05,0.192,0.202,-0.192,True,0.46666666666666673,0.40711805555555564,True,0.1,0.1366731074606537,True,True,True,True
GRB211024065,28.053,-6.973,59511.065409708,0.064,0.036,-0.016,10.4851,1.3761,0.1,0.064,0.036,-0.016,True,0.0,0.0,True,1.0,0.795495128834866,True,True,True,True
GRB211217295,8.88,4.45,59565.294795455,4.096,1.619,-1.28,10.8786,1.7366,5.73,1.536,0.362,-0.512,True,0.1875,0.0741119384765625,True,0.375,0.17257215525385727,True,True,True,True
GRB220104167,197.84,42.07,59583.167391247,2.624,0.779,-0.128,4.0002,0.9752,3.1,1.152,0.32,0.128,True,0.0975609756097561,0.02896341463414634,True,0.4390243902439024,0.1784920377291901,True,True,True,True
GRB220321282,170.76,28.94,59659.282199098,2.24,1.404,-1.088,8.2268,1.0296,8.55,0.768,0.326,-0.512,True,0.2571428571428572,0.1611734693877551,True,0.3428571428571428,0.25954147451604115,True,True,True,True
GRB220610906,160.73,24.81,59740.90598299,1.408,0.202,-0.064,5.0777,0.9437,8.25,0.896,0.453,0.128,True,0.13636363636363638,0.019563533057851246,True,0.6363636363636365,0.33443555835055594,True,True,True,True
GRB220617772,156.96,15.53,59747.771677112,0.704,0.231,-0.128,10.1034,1.2697,0.09,0.384,0.091,0.0,True,0.18181818181818182,0.05965909090909092,True,0.5454545454545455,0.22077446474179213,True,True,True,True
GRB220702569,160.01,6.5,59762.569163646,3.84,0.81,-0.768,2.9542,1.0269,11.46,2.304,1.145,-0.256,True,0.13333333333333333,0.028125000000000004,True,0.6,0.3239253608957218,True,True,True,True
GRB220823145,82.94,2.44,59814.145050759,1.088,0.771,-0.768,3.3327,0.9458,3.01,0.448,0.231,-0.384,True,0.3529411764705882,0.25010813148788924,True,0.4117647058823529,0.36086175834386897,True,True,True,True
GRB221014021,85.91,17.83,59866.020674677,0.32,1.032,-0.384,2.6276,0.9087,14.99,0.128,0.286,-0.32,True,0.2,0.645,True,0.4,1.5693594433717217,True,True,True,True
GRB221022815,118.342,-5.117,59874.814971668,6.912,4.419,-2.816,8.209,2.2799,0.08,2.304,1.864,-2.048,True,0.11111111111111108,0.07103587962962961,True,0.3333333333333333,0.3437149557072002,True,True,True,True
