## name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB150126868,96.513,3.114,27.392,0.923,12.9841,1.5462,-12.368,0.51,0.5119413964958088,0.01651783188469894,0.2838166879073285,0.013240752628793775,False,False,True,False,False,False
GRB150127398,52.736,3.62,20.48,0.724,17.2694,1.5064,-8.37,2.78,0.06796116504854369,0.004665113347158073,0.38834951456310685,0.029985274837310703,False,True,True,False,False,False
GRB150127589,60.929,0.81,41.473,0.362,23.5629,1.6549,-3.14,1.0,0.1344515747837647,0.0017874210240583206,0.6806775098885588,0.01082518417607909,False,True,True,False,True,False
GRB150127935,84.224,31.183,38.656,16.752,5.1807,1.3737,32.66,9.66,0.3738601823708207,0.1384175777316359,0.45896656534954405,0.2616022968128805,False,False,True,True,True,False
GRB150128624,0.096,0.906,0.064,0.101,16.1985,2.8239,63.15,9.09,0.0,0.0,0.6666666666666666,6.379024124795439,True,True,True,False,False,False
GRB150128791,85.248,4.762,45.312,2.862,7.9236,1.6445,27.78,3.32,0.17117117117117114,0.00956171543164786,0.5315315315315314,0.04481869558051176,False,True,True,True,True,False
GRB150131335,8.192,1.448,2.56,0.724,5.4677,0.9561,11.36,5.81,0.5,0.08837890625000001,0.3125,0.10422061675428743,False,False,True,True,True,False
GRB150131951,8.192,3.444,3.584,0.923,8.5516,2.3562,19.27,5.31,0.09375,0.0394134521484375,0.4375,0.2156960163962306,False,True,True,True,True,False
GRB150201040,0.512,1.154,0.128,0.373,4.978,1.2227,19.75,13.92,0.25,0.5634765625,0.25,0.920999919845793,True,True,True,True,True,True
GRB150201574,15.616,0.362,4.864,0.362,99.5459,2.6654,-37.6193,0.0014,0.0819672131147541,0.0019001108572964257,0.3114754098360656,0.024279818470659395,False,True,True,False,False,False
GRB150201590,25.6,3.916,10.24,0.923,4.6065,1.0863,-37.6193,0.0014,0.27999999999999997,0.04283124999999999,0.39999999999999997,0.07102007214142109,False,False,True,True,False,False
GRB150202999,167.427,3.367,7.168,0.362,30.8324,1.5204,58.55,1.0,0.036696590155709655,0.0007379778593313767,0.0428126885149946,0.0023272537564815714,False,True,False,False,False,False
GRB150203173,25.6,3.238,15.872,1.28,3.8278,1.1036,6.9532,0.0006,0.09999999999999999,0.012648437499999996,0.62,0.0930040075082663,False,True,True,True,True,False
GRB150203545,23.808,1.619,6.144,0.724,7.3888,1.4801,-21.81,2.67,0.21505376344086022,0.014624161752803792,0.25806451612903225,0.035110283737821615,False,False,True,True,False,False
GRB150204272,11.008,1.056,3.84,0.724,4.4334,0.9995,-64.043,0.02,0.2558139534883721,0.024540292049756628,0.3488372093023256,0.0737941759136088,False,False,True,True,False,False
GRB150206285,23.296,3.338,11.52,1.056,5.0266,1.2178,-61.61,3.7,0.06593406593406594,0.009447455017509963,0.4945054945054945,0.08411503650961889,False,True,True,True,False,False
GRB150206407,5.12,1.056,1.533,0.36,7.2859,1.1812,57.5,6.76,0.20058593749999998,0.041370849609374996,0.29941406249999997,0.09358110250856168,False,True,True,True,False,False
GRB150208573,6.912,1.28,3.328,1.086,2.6841,1.1987,9.34,19.96,0.22222222222222224,0.041152263374485604,0.48148148148148145,0.18065482631085472,False,True,True,True,False,False
GRB150208929,0.128,0.528,0.064,0.202,5.0785,1.1755,34.89,4.17,0.0,0.0,0.5,2.596995334155416,True,True,True,True,True,True
GRB150210935,31.294,0.602,7.424,0.362,25.7884,1.6486,12.36,2.2,0.03467118297437209,0.0006669665798738415,0.23723397456381415,0.012435387990856467,False,True,True,False,True,False
GRB150211239,18.432,6.481,5.888,2.636,4.3019,1.5061,38.98,9.08,0.08333333333333334,0.029301396122685192,0.3194444444444445,0.18184804556380402,False,True,True,True,True,False
GRB150213001,4.096,0.091,0.96,0.091,227.818,4.6079,-4.85,1.0,0.3125,0.0069427490234375,0.234375,0.022818842118661135,False,False,True,False,True,False
GRB150214293,0.192,0.286,0.128,0.091,5.5995,0.9317,-34.17,10.47,0.3333333333333333,0.49652777777777773,0.6666666666666666,1.100361685154415,True,True,True,True,False,False
GRB150215026,0.512,0.716,0.256,0.231,2.6168,0.7431,3.38,14.68,0.125,0.1748046875,0.5,0.832143570030183,True,True,True,True,False,False
GRB150216415,33.792,2.919,14.592,1.28,3.4624,0.8776,-9.52,10.08,0.12878787878787878,0.011124876248278237,0.4318181818181818,0.05316174681307604,False,True,True,True,False,False
GRB150219522,36.097,3.114,14.08,0.724,6.1162,1.5023,-41.5849,0.33,0.13474804000332438,0.011624384202852096,0.3900601157990969,0.03917367841839874,False,True,True,True,False,False
GRB150220598,144.643,1.619,117.762,0.81,19.5063,1.5584,-1.597,0.5,0.05309624385556163,0.0005943102590664897,0.8141562329321156,0.010696032185934855,False,True,False,False,True,False
GRB150222450,65.281,1.448,7.424,0.572,19.2928,2.3387,-46.2,1.29,0.7176513840167889,0.015918248863471915,0.11372374810434889,0.009117994099817195,False,False,True,False,False,False
GRB150222832,74.752,9.319,17.664,1.846,11.0253,1.8979,-40.94,11.32,0.5924657534246576,0.07386007539817509,0.23630136986301373,0.03844026843171859,False,False,True,True,False,False
GRB150226223,1.408,0.181,0.512,0.091,36.3272,2.107,22.51,1.28,0.2272727272727273,0.029216167355371903,0.36363636363636365,0.07976403441227149,True,True,True,False,True,False
GRB150226545,174.595,4.707,52.481,1.056,7.5405,1.3532,28.48,2.58,0.655425413098886,0.017669964314307146,0.3005870729402331,0.010111947561460026,False,False,True,True,True,False
GRB150226948,32.768,4.536,12.288,1.81,2.9283,0.8191,18.37,11.3,0.0859375,0.01189613342285156,0.375,0.07580102608416833,False,True,True,True,True,False
GRB150227702,17.408,1.379,5.888,1.864,5.3526,1.0746,-29.93,8.15,0.1323529411764706,0.01048453043901384,0.338235294117647,0.1103786018148049,False,True,True,True,False,False
GRB150228845,4.125,1.063,0.768,0.572,17.7624,1.3203,-41.87,2.03,0.2552727272727273,0.06578300826446282,0.1861818181818182,0.14673234129355842,True,True,True,False,False,False
GRB150228981,36.609,1.056,22.528,0.362,12.4339,1.3767,-61.73,2.53,0.0699281597421399,0.0020171033540304223,0.6153678057308312,0.02031892335846976,False,True,True,False,False,False
GRB150301045,0.416,0.295,0.064,0.072,8.2359,1.6369,-48.697,0.05,0.0,0.0,0.15384615384615385,0.2045920693909543,True,True,True,True,False,False
GRB150301818,13.312,1.557,3.84,0.572,6.2687,1.0293,-57.977,0.05,0.13461538461538464,0.01574490338387574,0.2884615384615385,0.05463184883124279,False,True,True,True,False,False
GRB150303516,4.864,0.81,3.84,0.572,5.6247,1.1181,-5.54,5.12,0.052631578947368425,0.008764716066481996,0.7894736842105263,0.17639162754056045,False,True,True,True,False,False
GRB150305724,16.128,5.146,8.448,3.62,2.9648,1.0621,-44.74,11.36,0.06349206349206349,0.02025856638951877,0.5238095238095238,0.2798450632483473,False,True,True,True,False,False
GRB150306993,18.944,1.145,6.4,0.362,23.0129,3.4811,-58.55,1.0,0.13513513513513511,0.008167743334550767,0.3378378378378379,0.027966091401257605,False,True,True,False,False,False
GRB150309958,52.481,1.086,10.752,0.724,18.3564,1.293,86.4287,0.0004,0.17560640993883503,0.003633859133659321,0.20487414492864084,0.014432198043188075,False,True,True,False,False,False
GRB150312403,0.32,0.547,0.064,0.091,6.0095,0.9938,-86.0,10.75,0.0,0.0,0.2,0.444688268621964,True,True,True,True,False,False
