name,t90,t90_error,t50,t50_error,flux_64,flux_64_error,dec,error_radius,relative_peak_time,relative_peak_time_error,t50_t90,t50_t90_error,cut_t90,cut_peak_time,cut_duration_ratio,cut_flux64,cut_dec,passes_all_cuts
GRB230415474,0.416,1.113,0.032,0.072,8.4749,1.7727,-69.94,10.09,0.07692307692307693,0.2058062130177515,0.07692307692307693,0.2689085692544647,True,True,True,True,False,False
GRB230723194,0.768,0.231,0.384,0.326,10.2566,2.4288,-67.059,2.0,0.08333333333333333,0.025065104166666668,0.5,0.45033310229420004,True,True,True,True,False,False
GRB260129421,24.832,2.919,17.92,2.757,3.0441,1.0052,-67.05,10.63,0.10309278350515462,0.012118550058454669,0.7216494845360826,0.1397243621259917,False,True,True,True,False,False
GRB240519213,11.325,0.407,5.888,0.362,17.7717,2.073,-69.35,1.47,0.1184105960264901,0.0042554624797158025,0.5199116997792494,0.037025102690154715,False,True,True,False,False,False
GRB250316375,36.865,1.864,12.288,0.724,5.3475,1.4217,14.886,0.08,0.18749491387494913,0.009480279925753564,0.33332429133324293,0.02587954299652174,False,True,True,True,True,False
GRB240107803,60.161,4.404,38.145,1.379,6.0273,1.2054,-68.3,3.4699999999999998,0.17446518508668407,0.012771474462222314,0.6340486361596384,0.051766083943042954,False,True,True,True,False,False
GRB260109156,6.4,2.064,2.048,0.572,5.3011,1.2659,-68.98,7.96,0.43999999999999995,0.14189999999999997,0.32,0.13652153905153575,False,False,True,True,False,False
GRB221203537,3.52,0.945,1.216,0.231,4.7637,1.1194,-68.97,4.6,0.36363636363636365,0.09762396694214875,0.34545454545454546,0.11361277107646561,True,False,True,True,False,False
GRB250828500,54.784,1.999,41.216,1.81,3.5101,1.5578,-68.26,4.82,0.11682242990654207,0.004262705121626343,0.7523364485981309,0.0429554147033436,False,True,False,True,False,False
GRB221201517,28.929,0.81,6.144,0.362,27.447,2.5067,-68.251,0.0016,0.17698503232050886,0.004955507490048469,0.21238203878461062,0.013854501415112925,False,True,True,False,False,False
GRB240807238,7.68,3.444,1.792,0.81,8.1357,2.5069,-68.7861,0.0028,0.26666666666666666,0.11958333333333333,0.23333333333333334,0.14856724957933848,False,True,True,True,False,False
